event_idx,group,day,date,start_time,end_time,duration_sec,behavior,initiator_id,receiver_id,ended_by,pen_location,linked,camera_id,video_filename,video_path,event_offset_sec,video_id,_primary_label
57,1,1,,07:31:39,07:31:57,18,ear,5684,5680,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,98.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
58,1,1,,07:32:05,07:32:24,19,ear,5684,5680,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,124.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
59,1,1,,07:32:33,07:32:35,2,ear,5684,5680,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,152.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
60,1,1,,07:33:15,07:33:17,2,tail,5682,5684,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,194.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
61,1,1,,07:33:21,07:33:25,4,tail,5682,5684,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,200.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
62,1,1,,07:33:32,07:33:35,3,ear,5684,5680,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,211.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
63,1,1,,07:35:11,07:35:12,1,ear,5684,5680,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,310.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
64,1,1,,07:35:33,07:35:34,1,ear,5684,5680,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,332.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
65,1,1,,07:35:37,07:35:39,2,ear,5682,5681,initiator,front,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,336.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
66,1,1,,07:36:32,07:36:40,8,ear,5684,5683,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,391.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
67,1,1,,07:36:56,07:36:59,3,ear,5684,5683,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,415.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
68,1,1,,07:41:22,07:41:29,7,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,681.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
69,1,1,,07:41:53,07:41:56,3,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,712.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
70,1,1,,07:42:54,07:43:03,9,ear,5682,5680,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,773.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
71,1,1,,07:43:03,07:43:05,2,ear,5682,5680,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,782.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
72,1,1,,07:43:13,07:43:16,3,ear,5682,5680,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,792.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
73,1,1,,07:43:20,07:43:29,9,ear,5682,5680,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,799.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
74,1,1,,07:44:41,07:44:49,8,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,880.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
75,1,1,,07:45:29,07:45:32,3,ear,5682,5681,receiver,front,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,928.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
76,1,1,,07:45:49,07:45:53,4,ear,5682,5681,receiver,front,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,948.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
77,1,1,,07:46:27,07:46:31,4,ear,5682,5681,receiver,front,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,986.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
78,1,1,,07:46:51,07:46:57,6,ear,5682,5681,receiver,front,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,1010.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
79,1,1,,07:46:59,07:47:03,4,ear,5682,5681,receiver,front,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,1018.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
80,1,1,,07:52:06,07:52:10,4,ear,5683,5684,initiator,back,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,1325.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
81,1,1,,07:53:00,07:53:02,2,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,1379.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
82,1,1,,07:53:59,07:54:02,3,tail,5682,5680,receiver,front,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,1438.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
83,1,1,,07:56:29,07:56:29,0,ear,5682,5680,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,1588.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
84,1,1,,07:57:00,07:57:05,5,ear,5682,5680,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,1619.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
85,1,1,,07:57:13,07:57:42,29,ear,5682,5680,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,1632.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
86,1,1,,07:58:39,07:58:40,1,ear,5682,5681,receiver,front,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,1718.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
87,1,1,,08:00:00,08:00:09,9,ear,5681,5680,initiator,front,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,1799.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
88,1,1,,08:02:44,08:02:45,1,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706080001_20240706083001.mp4,163.0,n884a6_ch7_main_20240706080001_20240706083001.mp4,unknown
89,1,1,,08:03:05,08:03:06,1,ear,5683,5684,receiver,front,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706080001_20240706083001.mp4,184.0,n884a6_ch7_main_20240706080001_20240706083001.mp4,unknown
90,1,1,,08:04:27,08:04:31,4,ear,5684,5680,receiver,front,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706080001_20240706083001.mp4,266.0,n884a6_ch7_main_20240706080001_20240706083001.mp4,unknown
91,1,1,,08:05:20,08:05:20,0,ear,5681,5682,initiator,middle,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706080001_20240706083001.mp4,319.0,n884a6_ch7_main_20240706080001_20240706083001.mp4,unknown
92,1,1,,08:07:35,08:07:36,1,ear,5680,5681,receiver,middle,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706080001_20240706083001.mp4,454.0,n884a6_ch7_main_20240706080001_20240706083001.mp4,unknown
93,1,1,,08:10:51,08:10:52,1,ear,5681,5684,initiator,middle,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706080001_20240706083001.mp4,650.0,n884a6_ch7_main_20240706080001_20240706083001.mp4,unknown
94,1,1,,08:12:46,08:13:08,22,ear,5684,5683,initiator,middle,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706080001_20240706083001.mp4,765.0,n884a6_ch7_main_20240706080001_20240706083001.mp4,unknown
95,1,1,,08:16:02,08:16:02,0,ear,5682,5681,initiator,front,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706080001_20240706083001.mp4,961.0,n884a6_ch7_main_20240706080001_20240706083001.mp4,unknown
96,1,1,,08:17:00,08:17:02,2,ear,5681,5683,initiator,middle,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706080001_20240706083001.mp4,1019.0,n884a6_ch7_main_20240706080001_20240706083001.mp4,unknown
97,1,1,,08:17:06,08:17:07,1,ear,5681,5683,initiator,middle,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706080001_20240706083001.mp4,1025.0,n884a6_ch7_main_20240706080001_20240706083001.mp4,unknown
98,1,1,,08:28:59,08:29:00,1,ear,5683,5680,receiver,front,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706080001_20240706083001.mp4,1738.0,n884a6_ch7_main_20240706080001_20240706083001.mp4,unknown
99,1,1,,08:29:20,08:29:23,3,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706080001_20240706083001.mp4,1759.0,n884a6_ch7_main_20240706080001_20240706083001.mp4,unknown
100,1,1,,08:30:27,08:30:27,0,ear,5680,5683,initiator,front,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706080001_20240706083001.mp4,1826.0,n884a6_ch7_main_20240706080001_20240706083001.mp4,unknown
101,1,1,,08:31:35,08:31:37,2,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240706083001_20240706090001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706083001_20240706090001.mp4,94.0,n884a6_ch7_main_20240706083001_20240706090001.mp4,unknown
102,1,1,,08:33:05,08:33:06,1,ear,5683,5684,initiator,front,True,7,N884A6_ch7_main_20240706083001_20240706090001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706083001_20240706090001.mp4,184.0,n884a6_ch7_main_20240706083001_20240706090001.mp4,unknown
103,1,1,,08:41:57,08:42:08,11,ear,5684,5683,initiator,front,True,7,N884A6_ch7_main_20240706083001_20240706090001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706083001_20240706090001.mp4,716.0,n884a6_ch7_main_20240706083001_20240706090001.mp4,unknown
