event_idx,group,day,date,start_time,end_time,duration_sec,behavior,initiator_id,receiver_id,ended_by,pen_location,linked,camera_id,video_filename,video_path,event_offset_sec,video_id,_primary_label,calc_offset_sec,duration_sec_fixed,duration_was_fixed,verify_ok,verify_reason
73,1,1,,07:43:20,07:43:29,9,ear,5682,5680,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,799.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,799.0,9.0,False,True,ok
74,1,1,,07:44:41,07:44:49,8,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,880.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,880.0,8.0,False,True,ok
75,1,1,,07:45:29,07:45:32,3,ear,5682,5681,receiver,front,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,928.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,928.0,3.0,False,True,ok
76,1,1,,07:45:49,07:45:53,4,ear,5682,5681,receiver,front,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,948.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,948.0,4.0,False,True,ok
77,1,1,,07:46:27,07:46:31,4,ear,5682,5681,receiver,front,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,986.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,986.0,4.0,False,True,ok
78,1,1,,07:46:51,07:46:57,6,ear,5682,5681,receiver,front,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,1010.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,1010.0,6.0,False,True,ok
79,1,1,,07:46:59,07:47:03,4,ear,5682,5681,receiver,front,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,1018.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,1018.0,4.0,False,True,ok
80,1,1,,07:52:06,07:52:10,4,ear,5683,5684,initiator,back,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,1325.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,1325.0,4.0,False,True,ok
81,1,1,,07:53:00,07:53:02,2,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,1379.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,1379.0,2.0,False,True,ok
82,1,1,,07:53:59,07:54:02,3,tail,5682,5680,receiver,front,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,1438.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,1438.0,3.0,False,True,ok
83,1,1,,07:56:29,07:56:29,0,ear,5682,5680,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,1588.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,1588.0,1.0,True,True,ok
84,1,1,,07:57:00,07:57:05,5,ear,5682,5680,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,1619.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,1619.0,5.0,False,True,ok
85,1,1,,07:57:13,07:57:42,29,ear,5682,5680,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,1632.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,1632.0,29.0,False,True,ok
86,1,1,,07:58:39,07:58:40,1,ear,5682,5681,receiver,front,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,1718.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,1718.0,1.0,False,True,ok
87,1,1,,08:00:00,08:00:09,9,ear,5681,5680,initiator,front,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,1799.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,1799.0,9.0,False,True,ok
88,1,1,,08:02:44,08:02:45,1,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706080001_20240706083001.mp4,163.0,n884a6_ch7_main_20240706080001_20240706083001.mp4,unknown,163.0,1.0,False,True,ok
89,1,1,,08:03:05,08:03:06,1,ear,5683,5684,receiver,front,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706080001_20240706083001.mp4,184.0,n884a6_ch7_main_20240706080001_20240706083001.mp4,unknown,184.0,1.0,False,True,ok
90,1,1,,08:04:27,08:04:31,4,ear,5684,5680,receiver,front,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706080001_20240706083001.mp4,266.0,n884a6_ch7_main_20240706080001_20240706083001.mp4,unknown,266.0,4.0,False,True,ok
91,1,1,,08:05:20,08:05:20,0,ear,5681,5682,initiator,middle,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706080001_20240706083001.mp4,319.0,n884a6_ch7_main_20240706080001_20240706083001.mp4,unknown,319.0,1.0,True,True,ok
92,1,1,,08:07:35,08:07:36,1,ear,5680,5681,receiver,middle,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706080001_20240706083001.mp4,454.0,n884a6_ch7_main_20240706080001_20240706083001.mp4,unknown,454.0,1.0,False,True,ok
93,1,1,,08:10:51,08:10:52,1,ear,5681,5684,initiator,middle,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706080001_20240706083001.mp4,650.0,n884a6_ch7_main_20240706080001_20240706083001.mp4,unknown,650.0,1.0,False,True,ok
94,1,1,,08:12:46,08:13:08,22,ear,5684,5683,initiator,middle,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706080001_20240706083001.mp4,765.0,n884a6_ch7_main_20240706080001_20240706083001.mp4,unknown,765.0,22.0,False,True,ok
95,1,1,,08:16:02,08:16:02,0,ear,5682,5681,initiator,front,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706080001_20240706083001.mp4,961.0,n884a6_ch7_main_20240706080001_20240706083001.mp4,unknown,961.0,1.0,True,True,ok
